Title Cleaned,Ingredients Cleaned,Steps
ayam ungkep bumbu kuning,"ayam , bumbu halus , bawang putih , bawang merah , kemiri , kunyit , jahe , lengkuas , royco ayam , garam , air , daun salam , daun jeruk , serai","1) Cuci bersih ayam.
2) Goreng ayam supaya lemaknya hilang. Dan buang minyak yang untuk menggoreng ayam.
3) Uleg semua bumbu halus, bawang putih, bawang merah, kemiri, kunyit. Geprek jahe, lengkuas, serai.
4) Tumis semua bumbu halus, kalau sudah harum, masukkan daun salam dan daun jeruk.
5) Tambahkan air secukupnya, royco, garam tunggu sampai mendidih.
6) Kalau air sudah mendidih masukkan ayam.
7) Tunggu sampai air rada berkurang supaya bumbu"" nya meresap ke ayam. Tes rasa.
8) Kalau air sudah berkurang, matikan kompor dan sajikan.
9) Bisa langsung dimakan bisa untuk persediaan. Tinggal goreng saja.
10) Semoga bermanfaat"
ayam goreng bumbu,"ayam , bawang putih , garam , merica , gula , minyak","1) Haluskan bawang putih, garam, gula, dan merica.
2) Siapkan wajan panaskan, masukkan ayam yg dipotong sesuai selera sambil di bolak balik hingga mngeluar kan air. Buang air yg keluar dari ayam.
3) Masukkan air kedalam wajan yg berisi ayam, kemudian masukkan bumbu yg sudah dihaluskan.
4) Dirasa ayam sudah setengah matang matikan api. Dinginkan
5) Siapkan wajan, masukkan minyak goreng secukupnya, panaskan.
6) Setelah panas masukkan ayam, kecilkan api agar matang ke dalam. Setelah agak kecoklatan angkat. Siap di sajikan."
sempol ayam,"digiling , daging ayam , bawang goreng merah , bawang putih , lada , garam , kaldu bubuk , pelengkap , batang daun bawang halus , terigu , sagu , telur celupan goreng , minyak u","1) Haluskan bahan yg digiling bisa menggunakan chopper atau blender. Jika menggunakan blender sebaiknya daging dlm keadaan setengah beku, potong kecil2 agar tdk macet dan halus rata.
2) Tambahkan bahan pelengkap. Aduk rata
3) Didihkan air dlm panci. Setelah mendidih matikan.
4) Bentuk dengan menggunakan stik eskrim lalu masukan ke air dlm panci, sampai semua adonan habis nyalakan lagi api rebus smpai daging brwarna putih semua sebentar saja.
5) Lalu baluti dgn kocokan telur dan goreng."
ayam madu saos sriracha,"chicken pops , fillet ayam potong dadu , bawang putih , jahe , lada hitam , garam , perasan lemon , telur , tepung , saos sriracha , saos sriracha , madu , perasan lemon , mentega , kecap manis","1) Potong halus jahe dan bawang putih. Balur di fillet ayam yang sudah di potong dadu. Tambahkan lada hitam, garam, dan perasan lemon. Biarkan meresap.
2) Tuang telur yang sudah dikocok ke ayam, lalu balurkan tepung. Goreng sampai keemasan, angkat.
3) Lelehkan mentega, lalu masukkan semua bahan saos sriracha. Setelah itu masukkan chicken pops, aduk sampai merata.
4) Ayam madu saos sriracha siap dinikmati."
ayam asam manis,"ayam , ayam , tepung bumbu , tepung maizena , air , saus , bawang bombai potong , bawang putih rajang , wortel potong korek api , cabe merah potong kotak buang bigi nya , saus tomat , garam , gula , penyedap , lada , tepung maizena larutkan","1) Bersihkan ayam marinage dgn garam, gula, lada, garlic powder dan jeruk nipis
2) Campurkan bahan tepung beri air lalu celupkan ayam nya lalu balur dengan tepung kering, goreng ayam hingga kecoklatan sisihkan
3) Tumis bawang putih dan bombay hingga harum llu masukan wortel aduk rata dan beri air secukupnya, masukkan saus tomat, garam, penyedap,gula, lada secukupnya masak hingga mendidih masukkan cabe dan larutan tepung maizena, aduk cepat hingga rata
4) Terakhir masukkan ayam aduk rata dengan api kecil
5) Tata di piring, Ayam asam manis pun siap dihidangkan"
ayam betutu,"ayam kampung , bawang putih , bawang merah , cabe merah , kemiri , kunyit , jahe , kencur , gula , garam , penyedap , serai ambil putihnya , geprek , daun jeruk , jeruk nipis , minyak utk menumis","1) Cuci bersih ayam, kemudian lumuri dengan jeruk nipis. Sisihkan kurleb 10menit lalu cuci bersih
2) Haluskan bawang merah, bawang putih, cabe, kunyit, kemiri, kencur, dan jahe
3) Tumis bumbu halus sampai wangi, masukan serai, daun jeruk. Kemudian masukan ayam td. Beri air, tambahkan gula, garam, penyedap. Masak sampai matang
4) Hidangkan selagi panas. Selamat mencoba"
dimsum ayam simpe,"ayam filet giling , kulit pangsit , isian , bawang daun , royco , lada , garam , minyak sayur biar gampang ngaduk , tapioka , maizena , wortel biar cantik","1) Campur semua bahan harus bener2 nyampur yaaa
2) Baru deh cetak ke kulit pgsit
3) Kukus sampai 30 menit"
ungkep ayam,"ayam , jeruk nipis , bawang putih , kunyit , jahe , lengkuas , serai halus , daun salam , garam","1) Cuci bersih ayam lalu lumurin dngan perasan jeruk nipis,sisihkan
2) Haluskan bawang putih, kunyit,jahe, garam tambahkan lengkuas dan serai
3) Ungkep ayam dengan bumbu dan tambahkan daun salam dan air secukupnya
4) Masak sampai air menyusut dan matang,,,"
ayam saus asam manis ( koloke ),"dada ayam fillet , telur , wortel korek api tipis , bawang bombai , bawang putih , kacang polong , tepung sajiku , tepung terigu , saus , saus asam manis merk saori , minyak wijen , saus tomat , garam , gula , merica , air","1) Fillet ayam dipotong ukuran dadu lalu di beri garam, merica, dan bawang putih. Diamkan selama kurang lebih 15menit
2) Kocok lepas telur. siapkan tepung terigu dan tepung serbaguna.
3) Masukan ayam yg telah di marinade, kedalam tepung terigu, lalu celup ke kocokan telur, dan yg terakhir balur dengan tepung serbaguna.
4) Goreng ayam dengan api sedang, hingga berwarna kuning kecoklatan. Tiriskan
5) Untuk membuat saus : tumis bawang bombai, bawang putih hingga wangi dan bawang bombai mulai layu
6) Masukan wortel, kacang polong, saus tomat, minyak wijen, dan saus asam manis saori. Aduk sebentar lalu tuang air putih sekitar 1/4 gelas.
7) Tambahkan gula, garam, sesuai selera dan Aduk hingga mengental
8) Tuangkan saus diatas ayam yg telah digoreng tadi. Lalu sajikan!"
mie ayam,"potong ayam goreng kampung , ambil daging+kulitnya , potong dadu , batang daun bawang , rajang , bawang putih , bawang merah , cabe merah keriting , cabe rawit merah , bubuk kunyit , kecap manis , tomat , cacah , minyak goreng utk menumis , garam gula pasir , mie instan ga bumbunya , daun sawi hijau , tomat utk pelengkap","1) Utk bumbu ayam, haluskan bawang merah, bawang putih, cabe rawit, cabe merah dan garam, tumis hingga harum kemudian masukkan potongan ayam, bubuk kunyit, cacahan tomat dan irisan daun bawang, tambahkan secukupnya air, garam, gula pasir dan kecap manis, masak hingga kuah agak menyusut, angkat dan sisihkan
2) Rebus daun sawi hingga kematangan sesuai selera, tiriskan, begitu jg dgn mie, rebus mie dan tiriskan..
3) Tata dalam piring saji, mie rebus, daun sawi hijau, potongan tomat, kemudian siram mie dgn potongan ayam
4) Sajikan
5) Utk mie ayam ini sy sengaja ga pake terlalu byk kuah, krn lg pengen mie ayam yg agak kering aja, enak loh.. Sebaiknya disantap selagi hangat.."
