Title Cleaned,Ingredients Cleaned,Steps
sambal goreng tahu & kulit sapi ( cecek ),"tahu putih , kulit sapi cecek , bawang merah , bawang putih , cabe hijau , daun jeruk , lengkuas , merica bubuk , garam gula , penyedap , kecap manis , air","1) Iris tahu lalu goreng sampai kecoklatan. Angkat
2) Iris""juga kulit sapi
3) Haluskan bawang merah dan bawang putih tumis sampai harum.
4) Masukkan air secukupnya. Masukkan tahu dan kulit. Kemudian kecap, irisan lengkuas, irisan cabe,daun jeruk, garam, gula, merica dan penyedap
5) Tunggu sampai air menyusut.cek rasa. Sajikan..selamat mencoba"
daging sapi lada hitam saori,"daging sapi , kaldu sapi , bawang bombai , bawang putih geprek cincang , bush tomat , sashcet sari lada hitam , garam , minyak kelapa menumis","1) Potong2 daging sapi melebar agak tebal, rebus saya pake presto hingga empuk.
2) Setelah empuk geprek daging hingga pipih lalu goreng sebentar
3) Tumis bawang bombay iris Dan bawang Putih cincang hingga harum. Masukan daging yg sdh digoreng tadi lalu masukan bumbu Saori lada hitam tambahkan air sisa merebus daging (air kaldu)
4) Terakhir tambahkan garam,tomat iris kecilkan api diamkan hingga air menyusut (tinggal sedikit) alias nyemek2 . Cek rasa
5) Selesai"
sup daging sapi non msg,"daging sapi potong dadu , kol , wortel , buncis , kentang , tomat potong , daun bawang seledri , pala utuh , bawang putih geprek , lada , kuntum cengkeh","1) Rebus daging sampai empuk (keluar kaldu) bersama cengkeh dan pala
2) Masukan wortel dan kentang sampai agak empuk, lalu kol buncis,daun bawang seledri, tomat..
3) Beri lada bubuk dan garam. Check rasa.. Sup Daging siap di nikmati"
rawon daging sapi,"daging sapi kisi , presto empuk , potong² kira² , bumbu halus , bawang merah , bawang putih , biji ketumbar , kunyit , jahe , laos , kluwek , pahit , garam , gula , kaldu bubuk , pelengkap , daun jeruk , daun salam , serai , memarkan , penutup , biji tomat , potong , lonjor daun bawang , potong , saus tomat delmonte","1) Tumis bumbu halus bersama pelengkap hingga harum
2) Masukkan kaldu daging yang tadi di rebus,tambah kan tomat dan saus delmonte
3) Masukkan garam,gula kaldu bubuk,secukupnya
4) Masukkan dading yang sudah di potong²,lalu daun bawang
5) Tunggu mendidih lalu angkat dan sajikan bersama sambal bawang,nasi,dan krupuk udang"
sop tulangan sapi,"tulangan sapi , wortel , bawang putih haluskan , bawang bombai , batang daun bawang , biji asam kandis , air merebus , masako sapi , lada , garam , gula pasir , rempah kering sangrai yakk , cengkeh , kayu manis , kapulaga , bunga sisir , taburan bawang goreng + seledri","1) Rebus tulangan, buang airnya. Rebus kembali sampai 1/2 empuk. Masukkan asam kandis & rempah2 kering.
2) Tumis bawang putih & bombay sampai harum, masukkan daun bawang sesaat.
3) Masukkan ke panci rebusan tadi, beri lada, garam, gula pasir, & masako sapi.
4) Potong agak besar wortel, masukkan ke panci tulangan, rebus sampai semua empuk
5) Ready bund :) taburkan bawang merah & seledri."
sayur goreng asem iga sapi,"iga sapi tetelan enak sebenernya , kantong plastik sayur asem bungkusan , jagung manis tambahan , req si , bumbu halus , bawang putih , bawang merah , kemiri , ketumbar , kunyit , jahe , cabe merah kalo suka pedes , bumbu cemplung , daun salam , serai , lengkuas","1) Rebus Iga/tetelan hingga empuk, sisihkan.
2) Didihkan air, rebus sayuran keras dahulu seperti : Jagung, nangka muda, labu,asem, pepaya muda, kacang tanah dan melinjo
3) Setelah sayuran keras setengah matang, tumis bumbu halus dan bumbu cemplung di tempat terpisah hingga matang dan harum, lalu tuang ke rebusan sayur tadi beserta iga/tetelan.
4) Setelah hampir matang, masukan daun melinjo dan kacang panjang. Tambahkan gula, garam (bumbu racik sayur asem juga enak) secukupnya.
5) Setelah semua matang, matikan kompor daaaan....Voilà!! Sayur goreng asem pun siap dihidangkan. Jangan lupa sambel, ikan asin dan jengkolnya ya moms. Mantaaap"
tongseng daging sapi,"daging sapi , kol , tomat merah , batang daun bawang , kecap , santan kara , bumbu cemplung , serai , daun jeruk , daun salam , kayu manis , cengkeh , bumbu halus , bawang merah , bawang putih , kunyit , cabai rawit merah , ketumbar , lada","1) Tumis bumbu halus, tambahkan bumbu cemplung sampai harum. Masukkan daging, tambahkan 700 ml air. Rebus sampai daging matang
2) Jika daging sudah empuk, masukkan santan. Tambahkan gula, garam dan kecap. Koreksi rasa
3) Jika sudah pas masukkan tomat, kol dan daun bawang. Masak sebentar (1 menit)
4) Tongseng siap dihidangkan"
beef bulgogi,"daging sapi , bumbu rendaman , kecap manis , kecap asin , air , madu , gula pasir , minyak wijen , lada hitam , kaldu bubuk , pelengkap , cabe sayur , daun bawang , bawang bombai diiris tipis , wijen disangrai","1) Tips pertama dari mommy Nadhifa, daging sapi ditaruh di freezer supaya enak mengiris daging jadi tipis, biar bumbu meresap.
2) Setelah daging diiris tipis rendam dalam bumbu rendaman. Taruh dikulkas sekitar 1-2 jam.
3) Setelah itu siapkan teflon, tuang daging bersama bumbu rendaman. Tumis dan aduk bolak balik. Lalu tambahkan irisan bawang bombay, cabe sayur dan daun bawang. Tumis sampai matang.
4) Saat sudah matang, tuang ke wadah lalu taburi wijen yg sudah disangrai.
5) Siap dinikmati"
bakso sapi kenyal ( pakai blender ),"daging sapi , es batu , balok , putih telur , tepung tapioka , garam , lada , baking powder , bawang putih bubuk bawang goreng gerus","1) Cincang daging sapi yg sudah bersih, kecil2 lalu pukul2 dg ulegan
2) Masukkan daging dalam blender tambahkan es batu, blender sampai halus (sedikit goyang2kan blender dan matikan hidupkan blender krn kadang blender tidak bergerak krn kurang cairan, pakai blender jus ya)
3) Tambahkan putih telur blender lagi sampai rata
4) Masukkan tepung tapioka dan bumbu2, blender lagi sampai halus
5) Siapkan baskom besar,, tuang adonan dan banting2 dg tangan sampai rata seperti pasta
6) Siapkan air mendidih, matikan api, bulatkan adonan bakso dg menggunakan tangan dan sendok
7) Masukkan dalam air panas, jika adonan habis nyalakan api, masak hingga mengapung jg terlalu lama nnti baksonya jd gak kenyal
8) Angkat masukkan dalam baskm berisi air es
9) Bakso siap digunakan dg pelengkap lainnya"
sapi lada hitam hokyaa hokyaa,"daging sapi , margarine , bawang putih , bawang bombai , cabai merah buang bijinya , potong kotak , cabai hijau buang bijinya , potong kotak , lada hitam , merica bubuk , saus tiram , garam , gula , air kaldu sapi","1) Rebus daging sapi hingga empuk, sisihkan air kaldunya.
2) Panaskan margarine, tumis bawang putih yg sudah digeprek dan bawang bombay yg sudah diiris hingga layu dan harum.
3) Masukkan daging sapi yg sudah direbus, tambahkan air kaldu sapi secukupnya.
4) Masukkan cabai merah & hijau yg sudah dipotong (ini sebagai pengganti paprika).
5) Sekarang saatnya memberi bumbu! Tambahkan lada hitam, merica bubuk, garam, gula secukupnya. Koreksi rasa.
6) Tumis2 sebentar, jadi deh! Selamat menikmati"
gulai daging sapi mooo,"daging sapi rebus potong dadu , air kaldu , santan kental , bumbu halus , cabe merah , bawang merah , bawang putih , lada , ketumbar , jinten , kunyit , serai , lengkuas , jahe memarkan , daun jeruk , daun salam , kapulaga , cengkeh , kayu manis , bunga lawang , minyak menumis","1) Tumis semua bumbu beserta rempah rempah sampai harum
2) Masukkan daging, tambahkan air kaldu. Aduk rata. Ungkep daging sebentar biar bumbu meresap
3) Tambahkan santan, garam, kalau perlu penyedap. Koreksi rasa
4) Aduk sesekali agar santan tidak pecah
5) Gulai daging siap disajikan"
gulai daging sapi,"daging sapi , santan , pelengkap , laos , daun jeruk , daun salam , tomat , biji kayu manis , serai , biji daun cengkeh , bumbu dihaluskan , bawang merah , bawang putih , cabe rawit , cabe merah kriting , kemiri , biji ketumbar , pala , jinten , kunyit , jahe , merica , garam , gula kaldu bubuk","1) Haluskan bumbu yg di tulis di atas
2) Rebus daging sampai empuk. lalu potong2 sesuai selera
3) Tumis bumbu sampai harum, masukkan bahan pelengkap. tuangkan air sisa rebusan daging. dan daging yg telah di rebus. tunggu hingga mendidih
4) Tuang santan, tambahkan gula, garam dan kaldu bubuk, jgn lupa irisan tomat. cek rasa, gulai siap di sajikan bila sudah mendidih"
pastel tutup daging sapi,"kentang kukus , haluskan , daging sapi cincang halus beku , jamur tiram cincang , kuntum brokoli cincang , daun bawang cincang , telur ayam pisahkan putih kuningnya , keju parut , garam , parsley flakes , bumbu , bawang merah , bawang putih , daun salam","1) Uleni/campur kentang halus dan putih telur, sisihkan Panaskan minyak Tumis bumbu hingga harum Masukkan daging sapi, jamur dan brokoli, daun bawang dan garam, aduk2 Tambahkan air tunggu air menyusut, angkat
2) Siapkan 3wadah aluminium foil Tata 1sdm kentang dibagikan wadah cetakan Letakkan tumisan daging di atas kentang, ratakan Tutup dengan lapisan kentang kembali Olesi dengan kuning telur Taburi dengan keju parut Ulangi hingga adonan habis Kukus selama 30 menit Angkat, beri UB"
hati sapi kukus telur,"hati sapi rebus menit , cincang halus , tempe kotak potong dadu , telur ayam , daging tomat potong dadu , bumbu bawang putih & bawang bombai cincang , garam","1) Panaskan minyak Tumis bumbu hingga harum, tambahkan garam Masukkan hati dan tempe, aduk2 Pindahkan ke mangkuk Tambahkan tomat dan telur ayam, aduk rata Tata di dalam aluminium foil Kukus selama 30menit Sajikan"
sup sayur tulang sapi,"tulang sapi , wortel , kentang , buncis , sayur kol , daun seledri , haluskan , bawang putih , bawang merah , merica , garam","1) Rebus daging sapi menggunakan presto selama 45 menit
2) Tumis bumbu halus lalu masukkan ke rebusan daging sapi yang sudah di rebus
3) Lalu masukkan sayur yg sudah di potong-potong ke dalam daging yang sudah di rebus di panci presto aduk2 dengan menggunakan api yang kecil, tambah kan daun seledri dan garam.
4) Yg suka pedas bisa rebus cabe setan dan tomat lalu di ulek taruh di mangkuk terpisah. Sup sayur tulang bisa di santap di ambil di mangkuk dan tambahkan sambal rebus tadi. Rasanya lebih mantap."
wagyu beef steak,"potong wagyu pas udh potongan , lada hitam lada putih , ketumbar , garam , saus steak , bawang putih , lada , ketumbar , kemiri , cabe merah , bawang merah , gula merah , minyak wijen , saos ikan , saos tiram gantinya msg , bawang bombai cacah","1) Lumuri steak (suhu normal) dengan bumbu-bumbu diatas. Diamkan minimal 30"". Panaskan sedikit minyak (kalau ada pakai minyak jagung/olive oil/wijen) di wajan, masukkan steak dgn api kecil. Balik setelah 5"", sesuaikan tingkat kematangan dengan selera. (Jangan sering di balik)
2) Blender bumbu untuk saos kecuali bawang Bombay. Tumis bawang bombay dengan sedikit minyak, masukkan bumbu halus sesuaikan kadar air dengan selera (jangan lupa garam). Tips: kl terlalu cair tambahkan tepung maizena.
3) Tuangkan saos ke atas steak. Tambahkan sayuran rebus (jagung/wortel/kacang panjang/jamur) sesuai selera. Steak siap dinikmati."
sapi lada hitam,"daging sapi , potong tipis memanjang , air , bumbu marinasi , saus tiram , kecap manis , kecap inggris , olive oil , roasted sesame , lada hitam utuh , gerus kasar , bumbu tumis , bawang putih , cincang , bawang bombai , rajang kasar , pelengkap , lada hitam utuh , gerus kasar ditambah , paprika merah , rajang kasar , cabe hijau , rajang bulat kasar , garam , olive oil , roasted sesame","1) Marinasi daging sapi dengan bumbu marinasi (simpan di kulkas selama minimal 30 menit)
2) Panaskan olive oil, tumis bawang putih dan bawang bombay sampai layu dan wangi. Masukkan daging sapi yang sudah dimarinasi. Aduk sebentar.
3) Tambahkan air secukupnya untuk mematangkan daging (kurang lebih 75-100ml). Masak sampai mengental.
4) Masukkan paprika, cabe hijau dan lada hitam, aduk rata.
5) Tes rasa, tambahkan sedikit garam jika dirasa masih kurang asin/ gurih.
6) Angkat, beri taburan roasted sesame.
7) Note: lada hitam yang ditambahkan terakhir bisa ditambah jadi 1 sdm untuk hasil akhir yang terasa hangat di mulut, saya sengaja tambahkan hanya 1/2 sdm karena ada anak yang ikut makan biar tidak terlalu pedas."
beef lasagna,"lasagna , daging cincang , daging sapi asap , bawang putih , bawang bombai , saus bolognaise la fonte , jumput lada , jumput gula , air , saus putih , butter , tepung terigu , susu putih ultra , pala , totole , taburan , keju mozarella , keju parut , parsley","1) Rebus lasagna sampai al dente (di bungkus petunjuk sebenarnya bs langsung pakai tanpa direbus)
2) Tumis daging cincang, daging asap, bawang putih & bombay sampai matang n daging berubah warna. kemudian tambahkan saus bolognaise lalu beri sedikit air (jgn terlalu encer), tambahkan gula, lada bubuk+ totole. koreksi rasa.
3) Saus putih : panaskan butter lalu masukkan tepung terigu aduk hingga tercampur rata lalu masukkan susu sedikit demi sedikit hingga mengental tidak menggumpal (aduk terus sampai adonan menyatu seperti cream soup). beri bubuk pala, keju parut, totole, parsley. koreksi rasa
4) Ambil selembar lasagna taruh didasar cup aluminium foil lalu siram dan ratakan dengan saus bolognaise lalu tumpuk dengan saus putih lalu taruh lagi selembar lasagna dan siram saus merah & putih seterusnya sampai adonan habis lalu beri keju mozarella, keju parut & taburan parsley. panggang kurang lebih selama 20-25 menit"
beef bulgogi ( super gampang ),"daging sapi , tipis , bawang bombai , memanjang , bawang putih , tipis , bbq sauce ganti kecap asin , sirup jagung diganti madu , minyak wijen , minyak goreng , merica hitam , gula , garam kaldu bubuk","1) Campur semua bahan sampai rata, diamkan di kulkas minimal 1 jam
2) Masak daging di grill pan/teflon yang sudah panas (helai per helai, daging jangan ditumpuk2).
3) Bolak balik, angkat kalau sudah matang. Sajikan dengan nasi putih dan daun selada"
bakso + iga sapi,"daging sapi giling , tepung tapioka , es batu , bawang putih dihaluskan , bawang merah goreng , bawang putih goreng , gula , garam , suka merica , tambahkan penyedap , air rebusan bakso , pelengkap , irisan daun sop sledri , bawang putih + bawang merah goreng","1) Kuah: Tulangan sapi, rebus dgn 4ltr air + iga masak sampai empuk.
2) Tumis merica + 8 siung bawang putih. Masukan ke kuah rebusan tulang. Tambahkan garam, penyedap, secukupnya.
3) Didihkan air untuk rebusan bakso, giling daging dengan bawang merah dan putih goreng, gula, garam, dan penyedap. Tambahkan merica bila suka. Masukan es batu, giling sampai kalis.
4) Bentuk bakso menggunakan sendok, masak di air yang sudah mendidih, rebus sampai matang (mengapung) tiriskan.
5) Masukan bakso kerebusan kuah, beri taburan bawang putih + merah goreng dan irisan daun sop/sledri. Sajikan."
beef teriyaki ala hokben,"daging sapi tipis , bawang putih , jahe , kecap manis , saus teriyaki , minyak wijen , gula , garam , blackpepper , minyak goreng , mentega , bawang bombai","1) Cara membuat :
2) Parut bawang putih dan jahe
3) Masukkan kecap manis, saus teriyaki, minyak wijen
4) Masukkan gula, garam blackpepper aduk merata
5) Marinasi daging selama kurang lebih 30
6) Setelah daging di marinasi, siapkan wajan masukkan minyak goreng dan mentega.
7) Setalah minyak dan mentega panas, masukkan daging yang sudah di marinasi, aduk merata.
8) Setelah setengah matang, masukkan 1/2 bawang bombai. Masak menggunakan api kecil, sampai kuah surut.
9) Setelah kuah surut masukkan 1/2 bawang bombai, lalu aduk hingga layu.
10) Setelah bawang bombai layu, matikan api kompor lalu sajikan."
sop iga sapi plus sambal tomat,"iga sapi , jahe , rebus tambhkan jahe keprek , presto mempersingkat , bumbu halus , bawang putih , lada , ulek ditumis harum , pelengkap , wortel potong , kentang potong dadu , daun bawang + seledri potong panjang , bawang merah tumis kekuningan harum , sambal tomat , cabe rawit kriting jablai , tomat","1) Setelah tulang empuk tambahkan air kedalam air kaldu rebusan tulang
2) Masukan wortel dan kentang rebus sampai air mendidih
3) Setelah mendidih masukan bumbu halus yg telah di tumis lalu aduk
4) Tambahkan garam + penyedap rasa sapi
5) Masukan daun bawang + seledri sampai sedikit layu
6) Tambahkan bawang goreng dan angkat
7) Cek rasa
8) Untuk membuat sambal tomat : Rebus cabe + tomat ke dalam sop dengan menggunakan saringan sampai layu
9) Setelah layu angkat lalu ulek kasar tambahkan kuah sop
10) Sop tulang iga + sambel tomat siap dihidangkan"
sumsum sapi kukus,"potong sumsum sapi bersihkan , garam , penyedap , bawang merah , bawang putih , potong tomat dipotong , bawang perai , potong cabai rawit , minyak goreng","1) Campur semua bahan seperti Sumsum sapi, bawang merah, bawang putih, bawang perai tomat, garam, penyedap, minyak goreng dan cabai
2) Kemudian masukkan ke Tupperware
3) Kukus kurang lebih 30 menit, kemudian siap disajikan"
scramble egg beef chick,"telur ayam , daging sapi cincang , ayam potong dadu , himalayan salt , lada putih , butter , bawang putih powder , jahe , irisan daun parsley","1) Panaskan butter diatas teflon hingga mencair
2) Masukkan telur, buat orak arik
3) Tambahkan daging sapi cincang dan ayam. Tumis hingga matang dan berubah warna
4) Masukkan himalayan salt, garlic powder, lada putih, dan jahe bubuk
5) Sajikan bersama irisan daun parsley diatasnya"
sup tulang sapi,"tulang sapi , kentang , kupas potong , wortel , kupas potong , batang seledri , simpulkan , batang daun bawang , kayu manis , kapulaga , air , kaldu bubuk , air jeruk nipis , garam , bumbu halus , bawang putih , bawang merah , munjung merica bulat , pala , pelengkap , tomat , batang seledri , bawang goreng","1) Masukkan tulang ke dalam panci, beri 1 liter air masak sampai air mendidih dan buih kotor keluar dari tulang (sekitar 15-20 menit), kemudian matikan kompor, angkat tulang buang air bekas rebusan yang keruh.
2) Didihkan 2 liter air, masukkan tulang dan kayu manis setelah air mendidih. Rebus sampai daging2 yang melekat di tulang empuk, sisakan kuah sekitar 1 liter, jika kurang tambah air panas (jumlah kiah sesuai selera).
3) Setelah empuk, masukkan bumbu halus, masak selama 10 menit sampai bumbu matang dan tidak bau langu baru masukkan potongan sayuran.
4) Tunggu sayuran setengah empuk, masukkan potongan bawang daun dan seledri yang disimpul. Beri garam dan kaldu bubuk, terakhir masukkan air jeruk nipis (masukkan 1 sdm dulu).
5) Cicipi rasa, koreksi jika ada yang belum pas, matikan kompor. Pindah ke mangkuk saji. Sajikan dengan bahan pelengkap."
gulai tunjang / kaki sapi,"kaki sapi potong , kelapa parut , air , garam , blok kaldu maigi sapi , bumbu dihaluskan , bawang putih , bawang merah , cabe merah kriting , kunyit , jahe , lengkuas , ketumbar , kemiri , pala , cengkeh , bunga lawang , pekak , bumbu daun , daun kunyit , daun salam , daun jeruk , serai","1) Cuci bersih tunjang/kaki sapi yg sdh dipotong2.
2) Presto kurleb 1 jam, tambahkan 4 lembar daun salam n air kelapa, biar cpat empuk n amisnya ga berasa, saya presto 1.30 jam sampai empuk krna ank2 n suami suka tekstur yg empuk. Setelah empuk tiriskan.
3) Blender halus semua bumbu.
4) Peras santan dgn 3x peras. Masukan santan n bumbu tambahkan daun2 kewajan, msak dgn api kecil sampai kuah mendidih n masukan tunjang.
5) Setelah kuah berminyak tambahkan garam n kaldu blok, tes rasa.
6) Angkat n sajikan.
7) Baru kali ini liat ank2 suka makan pedas, minta gulai tunjang, mgkin krna teksturnya empuk jd mereka pd suka..."
malbi daging sapi ulalaa,"daging sapi , bawang merah , bawang putih , jahe jempol , kelapa parut disangrai , digiling , air , kecap manis , garam , gula , daun jeruk daun salam , lada","1) Daging diiris tipis tipis kemudian di cuci bersih
2) Bawang merah, bawang putih dan jahe di blender hingga halus lalu ditumis hingga harum
3) Masukkan irisan daging sapi lalu aduk hingga rata,
4) Tambahkan air, masak hingga mengental
5) Tambahkan kelapa sangrai giling, garam, gula dan kecap secukupnya
6) Malbi siap dihidangkan"
bistik sapi goreng,"daging sapi potong tipis , bawang putih , mentega , kecap inggris , kecap manis , lada garam , saus tiram , salad , goreng wortel kentang , kol , mayonaise","1) Lumuri daging yang sudah di potong dengan saus tiram, lada, dan garam diamkan sekitar 20 menit
2) Lelehkan mentega dan tumis bawang putih hingga harum, lalu masukan daging sapi masak hingga matang
3) Lalu tambahkan kecap inggris, kecap manis, aduk rata, tambahkan lada dan garam lalu koreksi rasa"
tumis tulang sapi,"batang sledri potong , batang tulang sapi , biji cabe , daun bawang , bawang putih geprek , jahe , gula , garam , kecap asin , minyak menumis , air","1) Tumis bawang dan jahe dan cabe aduk rata
2) Lalu masukkan sledri kemudian tulang aduk rata
3) Setelah itu masukkan bumbu garam gula kecap asin dan sedikit air aduk rata dan tes rasa
4) Tutup sebantar matang sajikan"
rawon daging sapi,"daging sapi campur sandung lamur jandau , kluwek , bawang putih , bawang merah , kencur , kemiri , biji ketumbar , jinten , cabe merah keriting , garam , batang serai digeprek , langkuas , daun jeruk , daun salam , minyak goreng menumis , kunyit , pelengkap , kerupuk udang goreng , taoge pendek , daun kemangi , timun , telor asin , sambel terasi , nasi putih , bawang goreng","1) Daging dicuci kemudian direbus beri garam, daun salam dan beberapa iris langkuas sampai empuk
2) Pecahkan kluwek ambil isinya rendam air panas
3) Sambil menunggu rebusan daging haluskan semua bumbu diulek
4) Saring kluwek ikut dihaluskan bersama bumbu
5) Setelah halus semua langkuas sere cukup digeprek
6) Potong potong daging yang sudah direbus kemudian tumis bumbu sampai harum masukan potongan daging aduk aduk lalu masukkan kedalam sisa kaldu lalu rebus sampai meresap
7) Saring atau angkat potongan daging rapihkan di wadah mangkok beri bawang goreng
8) Rawon siap dihidangkan tinggal diguyur kuah dan pelengkapnya sesuai selera
9) Siap dinikmati dengan nasi putih sangat cocok"
korean beef bulgogi,"daging sapi tipis , bumbu rendaman , kecap asin , gula pasir , air , bawang putih ulek halus , resep asli cincang , secuil garam tambahan , madu , minyak wijen , merica hitam bubuk , kecap manis tambahan , pelengkap , batang daun bawang , wijen","1) Rendam daging dalam bumbu rendaman, minimal 1 jam, saya rendam 2 jam lebih di dalam wadah tertutup, taruh kulkas.
2) Panaskan 1 sdm margarin + 1 sdm minyak goreng, tumis daging berikut air rendaman, masak sampai air menyusut dan daging matang
3) Setelah matang, sajikan dan taburi daun bawang dan wijen sangrai (wijen saya pas ga punya) jd skip wijen"
beef teriyaki yb kitchen,"daging sapi , bawang bombai , bawang putih , biji cabe rawit merah diganti paprika merah , saus teriyaki saori , kecap manis , sejumput garam , sejumput lada , tepung maizena , air putih","1) Rebus daging hingga setengah matang, angkat dan potong kecil kecil, sisihkan
2) Cincang halus bawang putih, cincang kasar bawang bombay dan cabe rawit merah
3) Tumis bawang putih hingga harum dan masukkan bawang bombay dan aduk rata
4) Masukan daging dan cabe rawit yg telah di iris iris lalu aduk aduk
5) Masukkan saori saos tiram, kecap manis, lada bubuk dan garam dan aduk rata.
6) Larutkan tepung maizena dan air putih, lalu masukan kedalam tumisan tadi. masak hingga air mengental dan menyusut.
7) Beef teriyaki siap disajikan"
ginger shakin beef,"daging has , jahe , cabe rawit pedas , bawang putih , merica , sepucuk ketumbar , kemiri , margarin , madu , minyak , jeruk nipis , bongol pokchoi","1) Uleg halus ketumbar, merica, 1 siung bawang putih dan kemiri. Campur bumbu halus dengan margarin. Iris iris daging. Baluri daging dengan pasta bumbu dan margarin. Diamkan 10 menit. Karena margarin sudah asin, tidak ditambahi garam. Jika dirasa kurang, tambahi garam.
2) Iris korek api jahe, 1 siung bawang putih dan cabe
3) Didihkan air. Tambahkan sedikit garam. Masukkan pokchoi yg sudah di cuci bersih. Rebus 2 menit. Angkat dan tiriskan.
4) Panaskan Minyak goreng, goreng irisan jahe, bawang putih dan cabe sampai jahe dan bawang putih krispi keemasan. Angkat, sisihkan.
5) Dengan sisa minyak, goreng daging masing masing sisi sekitar 3 menit. Setelah daging kecoklatan, tambahkan madu dan perasan air jeruk nipis. Aduk rata.
6) Tata di piring saji: rebusan pokchoi, daging goreng huhg dan taburi dengan gorengan jahe bawang cabe."
perkedel kentang sapi,"kentang , daging sapi , daun bawang , telur , tepung panir , minyak goreng , bumbu , bawang merah , bawang putih , ladaku , garam , royco sapi","1) Cincang daging sapi, atau bisa menggunakan giling/blender manual supaya tdk terlalu halus. kemudian kukus daging sapi, atau bisa juga d tumis dengan sedikit air. sampai matang
2) Potong kentang menjadi 8 bagian, lalu goreng kentang sampai matang. kemudian haluskan dengan diuleg.
3) Potong2 Bawang putih dan bawang merah, kemudian goreng setelah kentang.
4) Campur semua bahan, kentang yg sudah halus, daging sapi yg sudah matang, bawang yg sudah d goreng, daun bawang yg sudah d potong halus.. campur dengan menggunakan tangan sampai rata.
5) Sisihakan kuning telur dan putih telur.
6) Campurkan kuning telur bersama kentang dan daging, bumbui dengan garam, ladaku (merica bubuk) dan kaldu (royco sapi) kemudian campur dengan rata menggunakan tangan.
7) Bentuk adonan yg sudah jadi, sesuai selera, (pipih, lonjong ataupun bulat). masukan ke dalam putih telur kemudian baluri dengan tepung panir. lalu goreng..
8) Pergedel Kentang Sapi siaap di Nikmati..."
beef patty simple,"daging sapi giling , oregano kering , roti tawar kupas kulit sobek sobek , susu , bawang bombai cincang halus , bawang putih cincang halus , garam , merica","1) Campur roti dan susu, aduk sampai roti hancur
2) Campurkan daging, bawang dan oregano
3) Bumbui dengan garam dan merica. Lakukan tes rasa dengan dimasak dengan minyak sedikit di teflon.
4) Jika sudah enak cetak sesuka hati (bisa tipis/tebal-besar/kecil)
5) Panaskan teflon dan tuang sedikit minyak.
6) Jika sudah panas masukkan patty dan masak hingga matang.
7) Sajikan dengan burger bun ditambah saus tomat, keju dan acar (pickles) (cheese burger)
8) Jika tidak mau dengan roti bisa dengan kentang goreng, wortel, buncis dan ditambah saus gravy (burger steak)."
hati sapi bumbu kecap,"hati sapi , potong potong , daun salam , santan encer , gula merah sisir , kecap manis , garam , bumbu halus , bawang merah , bawang putih , cabe merah , kemiri , ketumbar , pala , jahe , kunyit , lengkuas","1) Panaskan sedikit minyak, tumis bumbu halus dengan daun salam sampai matang
2) Masukkan hati sapi, tumis sampai berubah warna
3) Masukkan santan, gula merah, garam, kecap manis (hati2 memberi kecap karena lama kelamaan warnanya hitam sendiri)
4) Masak sambil sesekali diaduk hingga santan menyusut dan kental"
sop iga sapi,"iga sapi , bawang putih , wortel , kentang , daun bawang , kapulaga , batang cengkeh , kayu manis , pala , bunga lawang pekak , lada , jeruk nipis , cabai rawit direbus ulek","1) Rebus iga sapi sampai empuk (aku biasa rebus selama 2 jam api besar) kalau punya presto lebih cepat.
2) Setelah 2 jam.. masukkan bawang putih yg sudah digeprek agak halus lalu masukkan wortel dan kentang... beri lada bubuk.. garam.. kayu manis.. pekak.. kapulaga... cengkeh... rebus lagi hingga wortel dan kentang empuk
3) Siapkan mangkuk.. tuang sop ke mangkuk... berikan daun bawang yang sudah diiris... peraskan jeruk nipis... dan tambahkan sambal... nikmati selagi hangat yummy!!"
garang asem sapi,"daging sapi sengkel , bumbu halus , bawang merah , bawang putih , kemiri , jahe , bumbu rajang , belimbing wuluh belimbing sayur , tomat , cabe merah , cabai hijau , rawit merah rajang utuh , santan kental , daun salam , daun jeruk , serai , garam , gula pasir , penyedap , merica , air , daun pisang","1) Iris tipis daging sapi, sisihkan
2) Haluskan semua bumbu halus, kemudian tumis bersama daun salam, daun jeruk, dan serai sampai harum
3) Masukan daging sapi, tambahkan air secukupnya, dan masukan bumbu rajang
4) Bumbui dengan garam, gula, merica dan Penyedap,. Cek rasa... Sesudah daging matang n empuk masukan santan, lalu matikan api
5) Siapkan dandang pengukus, tata daun d tempat alumunium/ wadah tahan panas. masukan semua garang asem td ke dalam wadah yg sudah d alasi daun dan tutup kembali atasnya dengan daun pisang, tutup dandang kemudian kukus sampai kurang lebih 30 menit. Angkat dan sajikan."
